feature,importance
roll15_bikes_mean,7255.82666015625
roll30_bikes_mean,2872.97998046875
util_bikes,507.655517578125
roll60_bikes_mean,208.49630737304688
delta_docks_5m,121.306396484375
roll15_net_bikes,101.60677337646484
roll30_net_bikes,76.7514419555664
hour,75.23651885986328
delta_bikes_5m,52.497314453125
roll60_net_bikes,47.082149505615234
util_docks,33.139225006103516
nbr_docks_weighted,27.155412673950195
temp_c,26.969589233398438
nbr_bikes_weighted,25.902664184570312
is_weekend,21.37272071838379
precip_mm,21.21170997619629
dow,18.370410919189453
weather_code,17.972230911254883
rhum_pct,17.412996292114258
wind_kph,15.805033683776855
wind_dir_deg,14.25093936920166
is_holiday,14.097445487976074
pres_hpa,13.388320922851562
