feature,importance
roll15_bikes_mean,5167.849609375
roll30_bikes_mean,1702.3046875
util_bikes,574.6580810546875
roll60_bikes_mean,118.74897003173828
delta_docks_5m,95.49895477294922
roll15_net_bikes,85.32209777832031
hour,60.05846405029297
roll30_net_bikes,51.09974670410156
roll60_net_bikes,43.86878204345703
delta_bikes_5m,36.05232238769531
nbr_bikes_weighted,24.472919464111328
util_docks,23.381845474243164
is_weekend,23.327913284301758
temp_c,22.80349349975586
nbr_docks_weighted,20.866281509399414
dow,18.83715057373047
weather_code,17.59578514099121
rhum_pct,17.548580169677734
wind_kph,16.703672409057617
pres_hpa,16.441970825195312
wind_dir_deg,13.810552597045898
is_holiday,12.629644393920898
